"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1697906",-0.131244862336966,5.6975050929999,-1.25262652750328,0.213199856205169,0.999332053946124,-4.53695073736765
"ILMN_1695187",0.299858898638433,7.46760570051981,1.25190355628809,0.213462130184465,0.999332053946124,-4.53729515538627
"ILMN_1718813",-0.242990169714187,5.50911520577798,-1.24930153262909,0.214408027797852,0.999332053946124,-4.53853317436695
"ILMN_1900263",0.13806390606488,7.2647177349342,1.24879105892644,0.214593956457385,0.999332053946124,-4.53877576554613
"ILMN_1696466",-0.158343992729697,6.45179726785705,-1.24688557680878,0.215289027677524,0.999332053946124,-4.53968046994374
"ILMN_1709877",-0.272709230495482,5.92626332589058,-1.24661101099531,0.21538931779724,0.999332053946124,-4.53981072277217
"ILMN_1798076",-0.211205075819623,5.71778798850887,-1.2460390360619,0.21559835164141,0.999332053946124,-4.54008197753495
"ILMN_1687960",-0.152273135172988,5.42129531069428,-1.24475098195614,0.216069626483391,0.999332053946124,-4.54069239362522
"ILMN_2228180",0.132698124118734,6.39944103845814,1.24425078608297,0.216252841517703,0.999332053946124,-4.54092927730036
"ILMN_2075800",-0.171466609706252,5.19431350777959,-1.24396600495718,0.216357203707392,0.999332053946124,-4.54106410398465
"ILMN_1697024",-0.137450593020535,8.3357002495888,-1.24004568905128,0.217797601022,0.999332053946124,-4.54291715125005
"ILMN_1696488",-0.249826867194841,6.09907502531915,-1.23802432497263,0.218543015626704,0.999332053946124,-4.54387042982286
"ILMN_1789627",0.189781997925332,10.808604918766,1.23574804286801,0.219384660360689,0.999332053946124,-4.54494215529303
"ILMN_1658992",-0.160883251953115,6.73738468673515,-1.23536270811901,0.219527369472396,0.999332053946124,-4.54512339377039
"ILMN_1706873",-0.146894476139734,5.31754444037304,-1.23525014114931,0.219569071521599,0.999332053946124,-4.54517632839721
"ILMN_3248412",-0.165903993756924,6.62448409623104,-1.23486187935565,0.21971295294611,0.999332053946124,-4.54535887328661
"ILMN_1678522",-0.279311658482349,9.6222067714487,-1.23417933851927,0.219966054247904,0.999332053946124,-4.54567964370116
"ILMN_1792455",0.297285252504948,7.17299251013067,1.23361140097206,0.220176819864097,0.999332053946124,-4.54594642580116
"ILMN_1738642",-0.151430506530373,7.0729327202295,-1.23329888598887,0.220292859057087,0.999332053946124,-4.54609317621343
"ILMN_1672650",-0.229159340882522,5.85016250781355,-1.23272992534176,0.220504232759804,0.999332053946124,-4.54636025713459
"ILMN_1751559",0.132534643741947,6.20302819844418,1.23248878449467,0.220593863149514,0.999332053946124,-4.54647341779942
"ILMN_1674038",-0.15428018979271,8.07058165449083,-1.23247874708984,0.220597594558321,0.999332053946124,-4.54647812761598
"ILMN_1705900",-0.245593412518037,6.44442282765586,-1.23246462205508,0.220602845622803,0.999332053946124,-4.54648475539504
"ILMN_2367126",0.296682049787558,12.0703004682343,1.23070600080326,0.221257334199709,0.999332053946124,-4.54730937403582
"ILMN_3248833",-0.293155577455293,8.57901023573809,-1.23062990132521,0.221285687227936,0.999332053946124,-4.54734503180747
"ILMN_2096116",0.150788785909526,8.33102259107943,1.23042039577997,0.221363758136968,0.999332053946124,-4.54744318852494
"ILMN_1746633",-0.168821533247401,6.03747626843319,-1.22998858583294,0.221524732549656,0.999332053946124,-4.54764544819912
"ILMN_1767691",0.134137958959538,5.89850533311955,1.22996473650967,0.221533625817551,0.999332053946124,-4.54765661724513
"ILMN_1678312",-0.127022239671108,5.43235195552744,-1.22995039314117,0.221538974497612,0.999332053946124,-4.54766333439056
"ILMN_1785037",-0.174483641823365,6.81691586502503,-1.22988589706683,0.221563026414715,0.999332053946124,-4.54769353763609
"ILMN_1651799",-0.155348673540343,7.38893597695906,-1.22807415660277,0.222239437729785,0.999332053946124,-4.54854135156425
"ILMN_1680480",-0.175200398463948,5.39642371083184,-1.22624420422328,0.22292417039764,0.999332053946124,-4.54939647874664
"ILMN_3279414",-0.161012244180838,6.60305777073899,-1.22584732997799,0.223072874990994,0.999332053946124,-4.54958177563406
"ILMN_1773380",-0.148113022337009,6.42121596977605,-1.22493856537006,0.223413650759496,0.999332053946124,-4.5500058540248
"ILMN_2413508",-0.127989353461105,8.51496787607767,-1.22444772129168,0.223597868465708,0.999332053946124,-4.55023478355464
"ILMN_3251605",-0.19847782176242,8.33403348119131,-1.22414269796283,0.223712401685024,0.999332053946124,-4.55037700227957
"ILMN_1748454",-0.166717960925536,5.55505387703837,-1.22382879440291,0.223830313787772,0.999332053946124,-4.55052332619248
"ILMN_2396287",-0.126646697083788,5.29206209464585,-1.22320464021729,0.224064899799343,0.999332053946124,-4.55081416494537
"ILMN_1688240",-0.167562078031684,6.70228392765944,-1.22302240300328,0.224133426602531,0.999332053946124,-4.55089905581743
"ILMN_2196479",-0.15747959987936,4.91793572062048,-1.22220570483512,0.22444071699629,0.999332053946124,-4.55127934712369
"ILMN_2215862",0.136554003808244,5.69438113224276,1.22211233053979,0.22447586940995,0.999332053946124,-4.55132281095648
"ILMN_1794190",-0.156882726866093,6.97684837398028,-1.22184270903324,0.224577395629248,0.999332053946124,-4.55144829650663
"ILMN_3236428",-0.163599673506474,6.97955874578739,-1.22120817618626,0.224816460920231,0.999332053946124,-4.5517435126334
"ILMN_1779147",0.129558150321611,5.49399690686641,1.22073063626004,0.224996499516666,0.999332053946124,-4.55196559144291
"ILMN_1717313",0.142714982041179,5.53361919816399,1.22042968652557,0.225110015048006,0.999332053946124,-4.55210550485852
"ILMN_1797988",0.180897632132262,7.12764719364949,1.22014529912529,0.225217321556271,0.999332053946124,-4.55223768811193
"ILMN_2170949",-0.178066957232124,7.38338936771728,-1.21991672635141,0.225303594671646,0.999332053946124,-4.55234390743614
"ILMN_3205404",-0.126677695778135,5.07177562647971,-1.21685361399991,0.226462055549159,0.999332053946124,-4.55376552526574
"ILMN_2145153",0.124981627940504,5.52290684575123,1.21625707251307,0.226688166720547,0.999332053946124,-4.55404198892159
"ILMN_1651464",-0.232267322334272,5.98790246624574,-1.2162318543563,0.226697728928302,0.999332053946124,-4.55405367327982
"ILMN_1733256",0.128581627091134,5.87261753569755,1.21609515486618,0.226749567651233,0.999332053946124,-4.55411700639384
"ILMN_1681678",-0.14895234478592,5.63957002793395,-1.21508002475216,0.227134790312859,0.999332053946124,-4.55458710550957
