"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2077680",0.449805579429378,6.07168057123008,3.44772813427356,0.000822121299890821,0.999332053946124,-2.72027152761436
"ILMN_1795089",0.392662878549991,9.2221788361238,3.17954000627774,0.00195258760678172,0.999332053946124,-3.01373572837212
"ILMN_2352097",0.504217154188103,8.48529670255468,2.95852672970503,0.0038409095115239,0.999332053946124,-3.24288965781823
"ILMN_1654518",0.316515295476377,9.07142317972422,2.92649545895293,0.00422477511805304,0.999332053946124,-3.27509408772514
"ILMN_1678238",0.561902507847884,6.24549255489406,2.91876950132976,0.00432250354117363,0.999332053946124,-3.28282262467542
"ILMN_1787461",0.312009052562662,9.06589567483614,2.91594998991719,0.00435868352269105,0.999332053946124,-3.28563926785506
"ILMN_2384122",0.501613928140367,8.5172803402229,2.90618966306913,0.00448608989970802,0.999332053946124,-3.29537390213606
"ILMN_2061565",0.307385339577162,5.74207135724524,2.85635458981435,0.00519162084637109,0.999332053946124,-3.34469411845296
"ILMN_1666089",0.35504864349745,6.44468926176124,2.85092112139027,0.00527440262937675,0.999332053946124,-3.35003240823827
"ILMN_1796216",0.300559045563227,5.35579761438693,2.84829527529492,0.00531484087252515,0.999332053946124,-3.35260948996549
"ILMN_1794643",0.274794265075936,7.72193215710563,2.79012343701887,0.00628679470282505,0.999332053946124,-3.40923559480361
"ILMN_1718607",0.285632245158892,5.94827468696254,2.77987181745406,0.00647403553426225,0.999332053946124,-3.41912186706282
"ILMN_2393450",0.401995064852354,7.58037021834516,2.73529735143881,0.00734878313165283,0.999332053946124,-3.46178048765885
"ILMN_2399036",0.273710741011755,5.40650341066313,2.73514115822723,0.00735202901139379,0.999332053946124,-3.4619290270222
"ILMN_3242156",0.564647797799638,5.15689863083735,2.72022377392847,0.00766811125511013,0.999332053946124,-3.47608498427966
"ILMN_2070052",0.288397629283581,11.2462345916095,2.70189479764138,0.00807338062649051,0.999332053946124,-3.49339565117057
"ILMN_1699071",-0.317730302450153,7.93388418760545,-2.67208897740467,0.00877411592808094,0.999332053946124,-3.52134959681611
"ILMN_1813338",0.378058799829874,5.69088112923178,2.67169774611598,0.00878366967308976,0.999332053946124,-3.52171489976809
"ILMN_1805161",0.275316107744554,7.45546954775202,2.66820248989994,0.00886944214949445,0.999332053946124,-3.52497664334805
"ILMN_3304111",0.274578993719844,11.6057811070153,2.65550533138752,0.0091874518283013,0.999332053946124,-3.53679719262855
"ILMN_1718565",0.341363356780151,5.73801791652188,2.61275928482619,0.0103353858631496,0.999332053946124,-3.57626374522004
"ILMN_1704195",0.26515634141204,5.8794414716265,2.60180714805349,0.0106496306529059,0.999332053946124,-3.58629367665949
"ILMN_1746565",0.279162709295766,8.93271668071331,2.59976191588223,0.0107092600598838,0.999332053946124,-3.58816297116779
"ILMN_2341815",-0.35452868483769,7.84904290613345,-2.57259650026755,0.0115303463235368,0.999332053946124,-3.61288001670404
"ILMN_1696601",0.278233158457134,6.54167550374409,2.57142834850078,0.0115668929232518,0.999332053946124,-3.61393822161506
"ILMN_1682226",0.286038487424622,6.78761235489274,2.55930030757483,0.0119525369705843,0.999332053946124,-3.62490196666468
"ILMN_1656868",0.271948314401687,11.298647258536,2.52840213181873,0.0129878137896404,0.999332053946124,-3.65264522237163
"ILMN_1664464",0.417713656185852,6.33870686440727,2.51838361261487,0.0133403777258124,0.999332053946124,-3.66158233668326
"ILMN_2098126",0.282671301418091,11.5055286708025,2.50601746590588,0.0137873800449699,0.999332053946124,-3.6725740301602
"ILMN_1659365",0.294603219513899,5.21790975386225,2.50121422627027,0.0139645918163891,0.999332053946124,-3.6768315688981
"ILMN_1765332",0.361749684770603,5.85038642547869,2.49490130231257,0.0142006040681058,0.999332053946124,-3.68241718209445
"ILMN_1726981",0.300411373461856,8.30610925313934,2.48561565266465,0.014554244333215,0.999332053946124,-3.69061216606247
